Rank,Title,$ US Box Office,Top Billing Actor
1,Black Panther,700.06M,Chadwick Boseman
2,Avengers: Infinity War,678.82M,Robert Downey Jr.
3,Incredibles 2,608.58M,Craig T. Nelson
4,Jurassic World: Fallen Kingdom,417.72M,Chris Pratt
5,Aquaman,335.06M,Jason Momoa
6,Deadpool 2,324.59M,Ryan Reynolds
7,The Grinch,270.62M,Benedict Cumberbatch
8,Mission Impossible - Fallout,220.16M,Tom Cruise
9,Ant-Man and the Wasp,216.65M,Paul Rudd
10,Bohemian Rhapsody,216.14M,Rami Malek
11,A Star Is Born,215.29M,Lady Gaga
12,Solo: A Star Wars Story,213.77M,Alden Ehrenreich
13,Venom,213.52M,Tom Hardy
14,Ralph Breaks the Internet,201.06M,John C. Reilly
15,Spider-Man: Into the Spider-Verse,190.24M,Shameik Moore
